id,company_name,reason,blocked_title,blocked_company,blocked_date,job_url,archive_url
560a5280-7fa2-41f8-9211-f33f1af97c3d,Stripe,PhD students only,PhD Data Scientist Intern,Stripe,2026-05-02T01:52:18Z,https://stripe.com/jobs/search?gh_jid=7874965,https://web.archive.org/web/20260501231345/https://stripe.com/jobs/search?gh_jid=7874965
c4eb6315-4522-4bf0-b2fc-3842edddbca0,Faherty Brand,Not relevant to tech majors,MBA Intern - AI Retail Project,Faherty Brand,2026-05-02T01:28:17Z,https://fahertybrand.com/pages/faherty-applications?gh_jid=5104030007,https://web.archive.org/web/20260502001134/https://fahertybrand.com/pages/faherty-applications?gh_jid=5104030007
91e54ebb-5337-4a63-920b-2eac70413c47,Elsevier,Not relevant to tech majors,Acquisitions Editorial Assistant Intern,Elsevier,2026-05-01T16:49:47Z,https://relx.wd3.myworkdayjobs.com/ElsevierJobs/job/United-Kingdom/Intern_R112302,
5319183b-cbcd-4111-a355-f6026c2a89a4,Nokia,Not relevant to tech majors,Software Tools Development Co-op/Intern,Nokia,2026-04-30T02:17:05Z,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/34113,https://web.archive.org/web/20260430021101/https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/34113
b016e33e-8187-45a7-b8f2-90d031def58b,Signet Jewelers,Not relevant to tech majors,Intern - Market Research and Product Development,Signet Jewelers,2026-04-28T14:46:52Z,https://signetjewelers.wd1.myworkdayjobs.com/SignetCorporateCareers/job/00099---Diamonds-Direct-New-York-NY/Internship---Market-Research-and-Product-Development_REQ_80060-1,
f301da26-1c76-4bd7-a703-7a4a42159c02,Output Biosciences,PhD students only,"Research Intern, Machine Learning",Output Biosciences,2026-04-28T04:22:48Z,https://jobs.ashbyhq.com/output/da2723ca-a418-49f1-b7da-a4f383dd8239,https://archive.ph/9pkNi
95042a1f-55e6-4ceb-a646-ca02e7bfb30e,Globalization Partners,Non-US position,Software Engineering Intern,Globalization Partners,2026-04-28T03:26:59Z,https://job-boards.greenhouse.io/globalizationpartners/jobs/7714834003,https://archive.ph/0pPLz
729044c5-515d-4337-b698-4093c9cfff8a,The New School,Not relevant to tech majors,Student Assistant Specialist J&D Capstone,The New School,2026-04-25T00:01:07Z,https://newschool.wd1.myworkdayjobs.com/external/job/B---65-West-11th-Street/Student-Assistant-Specialist-J-D-Capstone_JR108782,
200d58f3-cae5-46c2-a603-5e289e29b19b,Environmental Defense Fund,Not relevant to tech majors,Psychological Science Intern,Environmental Defense Fund,2026-04-25T00:01:07Z,https://osv-edf.wd5.myworkdayjobs.com/Confidential/job/New-York/Psychological-Science-Intern_REQ-002479,
edfe2113-ed48-4671-8583-76fd4a82cbaa,Corebridge Financial,Not relevant to tech majors,Retirement Services Intern,Corebridge Financial,2026-04-25T00:01:07Z,https://corebridgefinancial.wd1.myworkdayjobs.com/CorebridgeFinancial/job/NJ-Jersey-City/Retirement-Services-Intern_JR2600492,
e3a9f714-561a-45f3-9c22-6873fe4efadd,Amazon,Not relevant to tech majors,Applied Science Internships Intern,Amazon,2026-04-25T00:01:07Z,https://amazon.jobs/en/jobs/10400059/2026-applied-science-internships-iclr,
1ab2ad5e-4094-4322-83b4-3949a136b9c6,Vertiv,Not relevant to tech majors,Field Service Intern,Vertiv,2026-04-25T00:01:07Z,https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/20270449,
9e0c7c74-0000-0000-0000-000000000001,T. Rowe Price,Not relevant to tech majors,T. Rowe Price Intern,T. Rowe Price,2026-04-25T00:01:07Z,,
6ec40ca1-0000-0000-0000-000000000001,Kroll,Not relevant to tech majors,Kroll Intern,Kroll,2026-04-25T00:01:07Z,,
1f454555-0000-0000-0000-000000000002,Kroll,Not relevant to tech majors,Kroll Intern,Kroll,2026-04-25T00:01:07Z,,
