company_name,title,recruiting_season,date_posted,first_seen_date,url,id,source
Ancestry,Graduate Research Co-op - AI & Representation Learning,Summer 2026,1778947575,2026-05-17T08:00:36Z,https://ancestry.wd501.myworkdayjobs.com/Careers/job/Remote/Graduate-Research-Co-op---AI---Representation-Learning_R003340,4e46ef11-a7c5-4895-a907-c2c188d58328,simplify
Center for Internet Security (CIS),Security Engineer Intern,Summer 2026,1778941377,2026-05-16T23:00:36Z,https://cisecurity.wd1.myworkdayjobs.com/CIS_External_Career_Site/job/Remote/Security-Engineering-Intern---Remote_JR100204,9fc8a614-08fa-458a-ae94-17287abd6840,simplify
Ensemble Health Partners,Software Engineer Intern,Summer 2026,1778941069,2026-05-16T23:00:36Z,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Software-Engineer-Intern_R041331,837f275c-c314-436a-9c5b-9f8c18daa488,simplify
Ensemble Health Partners,Business Intelligence Intern,Summer 2026,1778941097,2026-05-16T22:00:31Z,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Remote---Nationwide/Business-Intelligence-Intern_R044048,483336e7-948a-4f0e-a61d-4151a29c78de,simplify
Ensemble Health Partners,Engineering Excellence Engineer Intern,Summer 2026,1778941110,2026-05-16T21:30:29Z,https://ensemblehp.wd5.myworkdayjobs.com/ensemblehealthpartnerscareers/job/Engineering-Excellence-Intern_R041330,27c082da-62c4-4f26-8137-74728d05965e,simplify
EPRI,Graduate Geothermal Modeler,N/A,1778940829,2026-05-16T21:30:29Z,https://vhr-epri.wd1.myworkdayjobs.com/epricareers/job/RemoteHome-Based/Student-Employee_REQ-3876,eff23e0e-2522-445b-925a-811fe2e459d1,simplify
Arine,AI Engineer Intern,Summer 2026,1778883060,2026-05-15T23:30:35Z,https://job-boards.greenhouse.io/arine/jobs/5997169004,74f8b0c5-8f2e-422d-af50-13f152a2f0bb,simplify
GenScript,AI Researcher Intern,Summer 2026,1778883616,2026-05-15T23:00:51Z,https://job-boards.greenhouse.io/genscript/jobs/5138842007,bf6f1046-c707-41a4-9446-0ed05b3dcb3c,simplify
Phil,AI Engineer Intern,Summer 2026,1778807315,2026-05-15T01:30:34Z,https://jobs.ashbyhq.com/phil/4626509e-297e-4a03-b5b1-7d72cbbc5b82/application,c623e3d0-43d6-4ba5-93dc-077ec55a1bb3,simplify
A Thinking Ape,Software Development Engineer Co-op,Fall 2026,1778624545,2026-05-14T01:00:38Z,https://job-boards.greenhouse.io/athinkingape/jobs/7918788,aac2840b-0767-4a5b-b94f-f8e890a1065e,simplify
